make_model_ordinal,body_type_ordinal,price,km,type_ordinal,previous_owners,fuel_ordinal,inspection_new,drive_chain,co2_emission,gears,age,hp_kW,upholstery_type_ordinal,gearing_type_ordinal,displacement_cc,weight_kg,comb_consumption,comfort_convenience_package,num_of_extras,safety_security_package_labeled,entertainment_media_package_labeled
0,0,10000,192000.0,0,1.0,0,1,2,102.0,5.0,3.0,85.0,0,1,1598.0,1250.0,3.9,2,1,0,1
0,2,10490,130000.0,0,1.0,0,1,2,102.0,5.0,3.0,66.0,0,1,1422.0,1180.0,3.9,0,1,0,1
0,2,18900,41294.0,0,1.0,1,0,2,103.0,7.0,3.0,71.0,0,0,999.0,1065.0,4.4,2,1,0,1
0,0,18900,64000.0,0,1.0,0,0,2,99.0,7.0,2.0,85.0,1,0,1598.0,1720.0,3.8,2,2,1,0
0,0,18900,13135.0,0,1.0,1,0,2,104.0,7.0,1.0,70.0,1,0,999.0,1625.0,4.6,2,1,1,1
0,0,18900,4250.0,0,1.0,1,0,2,102.0,7.0,2.0,70.0,1,0,999.0,1135.0,4.4,2,6,0,1
0,0,18890,2949.0,0,1.0,1,1,2,104.0,7.0,1.0,70.0,0,0,999.0,1135.0,4.4,0,3,0,0
0,0,18890,17861.0,0,1.0,1,0,2,104.0,7.0,2.0,71.0,0,0,999.0,1135.0,4.6,2,3,0,1
0,2,18890,22800.0,0,1.0,1,0,2,117.0,7.0,2.0,92.0,1,0,1395.0,1180.0,5.1,2,3,0,0
0,0,18880,5108.0,0,1.0,1,1,2,102.0,7.0,2.0,70.0,0,0,999.0,1165.0,4.4,0,4,0,0
0,0,18880,11335.0,1,1.0,1,1,2,102.0,7.0,1.0,70.0,0,0,999.0,1135.0,4.4,0,4,0,0
0,2,18880,6396.0,0,1.0,1,1,2,104.0,7.0,1.0,70.0,0,0,999.0,1135.0,4.4,0,2,0,0
0,2,18880,47800.0,0,1.0,0,1,2,99.0,7.0,3.0,85.0,0,0,1598.0,1180.0,3.8,0,4,0,0
0,2,18880,7021.0,0,1.0,1,1,2,102.0,7.0,1.0,70.0,0,0,929.0,1180.0,4.4,0,3,0,0
0,2,18880,30952.0,0,1.0,1,0,2,123.0,7.0,3.0,92.0,1,0,1395.0,1180.0,5.2,0,4,0,0
0,0,18880,33991.0,0,1.0,1,1,2,104.0,7.0,3.0,92.0,1,0,1395.0,1135.0,5.2,0,5,0,0
0,0,18870,35800.0,0,1.0,0,1,2,99.0,7.0,2.0,66.0,0,0,1422.0,1135.0,3.8,0,3,0,0
0,0,18850,7672.0,0,1.0,0,0,2,97.0,7.0,1.0,85.0,1,0,1598.0,1630.0,3.7,2,1,0,1
0,0,18500,13406.0,0,1.0,0,0,2,99.0,7.0,1.0,85.0,0,0,1598.0,1135.0,3.8,2,4,0,0
0,2,18870,8430.0,0,1.0,1,1,2,102.0,7.0,1.0,70.0,0,0,999.0,1180.0,4.6,0,4,0,1
0,2,18497,40488.0,0,1.0,0,1,2,106.0,5.0,3.0,85.0,0,0,1598.0,1250.0,4.0,0,4,0,0
0,2,18490,24200.0,0,2.0,0,0,2,108.0,7.0,2.0,66.0,0,0,1422.0,1195.0,4.1,2,1,0,0
0,2,18490,26500.0,0,1.0,0,1,2,104.0,7.0,2.0,66.0,0,0,1422.0,1180.0,4.0,0,5,0,0
0,2,18490,58806.0,0,1.0,1,0,2,103.0,7.0,3.0,71.0,0,0,999.0,1065.0,4.4,0,1,0,1
0,0,18500,39000.0,0,1.0,0,0,2,99.0,7.0,3.0,85.0,0,0,1598.0,1250.0,3.8,2,2,1,1
0,0,18490,16700.0,0,1.0,1,0,2,117.0,7.0,2.0,92.0,0,0,1395.0,1215.0,5.1,0,4,0,0
